2023-07-06 00:53:06.141 INFO  c.m.c.CourrierLocationApplication - Starting CourrierLocationApplication using Java 17.0.7 with PID 16020 (C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation\target\classes started by altuntabak in C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation)
2023-07-06 00:53:06.143 INFO  c.m.c.CourrierLocationApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-06 00:53:07.038 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-06 00:53:07.045 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-07-06 00:53:07.047 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-06 00:53:07.047 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-06 00:53:07.113 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-06 00:53:07.113 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 935 ms
2023-07-06 00:53:07.610 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-07-06 00:53:07.624 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-06 00:53:07.629 INFO  c.m.c.CourrierLocationApplication - Started CourrierLocationApplication in 1.934 seconds (process running for 3.003)
2023-07-06 00:53:59.836 INFO  c.m.c.CourrierLocationApplication - Starting CourrierLocationApplication using Java 17.0.7 with PID 2064 (C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation\target\classes started by altuntabak in C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation)
2023-07-06 00:53:59.837 INFO  c.m.c.CourrierLocationApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-06 00:54:00.475 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-06 00:54:00.480 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-07-06 00:54:00.481 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-06 00:54:00.481 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-06 00:54:00.546 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-06 00:54:00.547 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 682 ms
2023-07-06 00:54:00.984 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-07-06 00:54:00.997 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-06 00:54:01.003 INFO  c.m.c.CourrierLocationApplication - Started CourrierLocationApplication in 1.495 seconds (process running for 1.97)
2023-07-06 00:54:23.215 INFO  c.m.c.CourrierLocationApplicationTests - Starting CourrierLocationApplicationTests using Java 17.0.7 with PID 4604 (started by altuntabak in C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation)
2023-07-06 00:54:23.216 INFO  c.m.c.CourrierLocationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-07-06 00:54:24.549 INFO  c.m.c.CourrierLocationApplicationTests - Started CourrierLocationApplicationTests in 1.614 seconds (process running for 2.476)
2023-07-06 00:54:28.082 INFO  c.m.c.CourrierLocationApplicationTests - Starting CourrierLocationApplicationTests using Java 17.0.7 with PID 18592 (started by altuntabak in C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation)
2023-07-06 00:54:28.082 INFO  c.m.c.CourrierLocationApplicationTests - No active profile set, falling back to 1 default profile: "default"
2023-07-06 00:54:29.398 INFO  c.m.c.CourrierLocationApplicationTests - Started CourrierLocationApplicationTests in 1.574 seconds (process running for 2.326)
2023-07-06 00:55:06.133 INFO  c.m.c.CourrierLocationApplication - Starting CourrierLocationApplication using Java 17.0.7 with PID 2552 (C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation\target\classes started by altuntabak in C:\Users\altuntabak\Downloads\courrierLocation\courrierLocation)
2023-07-06 00:55:06.134 INFO  c.m.c.CourrierLocationApplication - No active profile set, falling back to 1 default profile: "default"
2023-07-06 00:55:06.788 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-07-06 00:55:06.793 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-07-06 00:55:06.795 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2023-07-06 00:55:06.795 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.10]
2023-07-06 00:55:06.861 INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-07-06 00:55:06.861 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 699 ms
2023-07-06 00:55:07.293 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-07-06 00:55:07.304 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-07-06 00:55:07.310 INFO  c.m.c.CourrierLocationApplication - Started CourrierLocationApplication in 1.538 seconds (process running for 1.949)
